"shark_ID","year","size_slow","size_fast","num_detections","num_receivers","n_rec_lagoon","n_inner_lagoon","n_outer_lagoon","n_rec_plat","n_rec_drop","n_rec_coast","min_date","max_date","n_tracking_days","tracking_period","binary_cat","binary_num","sex","sex_num","maturity_slow","mcp_area_100","mcp_area_95","mcp_area_90","mcp_area_80","mcp_area_75","mcp_area_70","mcp_area_60"
53,2016,232,244,2,2,1,0,0,0,0,0,2016-01-03 11:50:04,2016-01-05 00:26:58,2,1.526,"resident",0,"f",1,"mature","NA","NA","NA","NA","NA","NA","NA"
54,2012,170,170,268,5,5,0,0,0,0,0,2012-09-03 22:46:38,2012-12-26 03:09:43,14,113.183,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
54,2013,182.5,185.5,279,4,4,0,0,0,0,0,2013-01-18 23:46:42,2013-09-21 14:59:05,25,245.634,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
55,2012,151,151,30,4,2,0,0,0,0,0,2012-10-04 12:30:52,2012-12-29 22:58:35,11,86.436,"resident",0,"f",1,"juvenile","NA","NA","NA","NA","NA","NA","NA"
55,2013,163.5,166.5,1244,15,12,0,0,0,0,0,2013-01-02 14:36:57,2013-12-31 20:51:52,182,363.26,"resident",0,"f",1,"juvenile","8.79939736089063","4.30163940980015","4.30163940980015","3.22318584150977","1.37261238385003","0.974308391657237","0.330895959871136"
55,2014,176,182,11373,26,20,0,0,0,0,0,2013-12-31 23:02:23,2014-12-31 02:14:34,345,364.133,"resident",0,"f",1,"juvenile","13.6647932227603","7.57999897888545","6.16448460752546","2.37142126512965","1.80154439265289","1.80154439265289","1.01719879856323"
55,2015,188.5,197.5,17367,32,26,0,0,0,0,0,2014-12-31 23:42:50,2015-12-31 22:53:58,366,364.966,"resident",0,"f",1,"juvenile","16.4651059599932","3.75014713466725","2.84324286103297","2.37142126512965","1.34809865108219","1.01720468376523","0.4350682564236"
55,2016,201,213,16066,36,25,0,0,0,0,0,2015-12-31 23:23:25,2016-12-31 20:11:04,367,365.866,"resident",0,"f",1,"juvenile","25.0930096290958","4.03812719179549","3.14349453980787","1.91797552355896","1.34809865108219","1.01720468376523","0.686304831246264"
55,2017,213.5,228.5,17279,28,22,0,0,0,0,0,2017-01-01 00:15:21,2017-12-31 22:10:52,363,364.914,"resident",0,"f",1,"juvenile","16.2568131350312","6.02354821527323","3.14349453980787","1.91797552355896","1.01720468376523","1.01720468376523","0.4350682564236"
55,2018,226,244,14056,24,17,0,0,0,0,0,2018-01-01 01:44:43,2018-12-31 09:04:43,362,364.306,"resident",0,"f",1,"mature","14.4430334349151","3.01483724090237","1.01107978498121","0.765968108942565","0.23285628275029","0.23285628275029","0"
